縣市,行政區,建物類別名稱,交易季,交易量(棟),成交行情(萬/坪),市場開價(萬/坪),銷售天期(天),買賣議價率(%)
高雄市,鳳山區,透天厝,2025Q1,93,35.24,44.95,113,14.6%
臺中市,南區,公寓,2024Q4,23,21.73,31.46,130,18.3%
臺北市,中山區,住宅大樓,2025Q1,337,87.35,101.75,115,11.8%
臺中市,大雅區,公寓,2025Q3,6,16.87,24.52,166,15.4%
臺中市,大雅區,透天厝,2025Q3,30,37.27,43.58,142,14.2%
臺中市,潭子區,透天厝,2024Q1,66,37.72,47.63,138,15%
臺中市,南區,公寓,2024Q3,21,24.04,31.87,58,12.2%
桃園市,龜山區,公寓,2024Q2,89,23.91,28.92,107,12.6%
新北市,中和區,住宅大樓,2024Q2,703,60.78,61.77,70,9.3%
新北市,三重區,公寓,2024Q1,242,42.82,54.77,98,15.7%
新北市,三峽區,住宅大樓,2024Q4,106,41.65,43.36,87,12.6%
臺中市,大雅區,透天厝,2025Q1,30,36.25,46.18,149,13.2%
臺南市,歸仁區,住宅大樓,2025Q2,61,31.38,33.49,115,14.5%
臺中市,中區,住宅大樓,2024Q3,55,24.08,32.74,119,14.2%
桃園市,桃園區,住宅大樓,2025Q2,617,36.5,38.83,111,12%
桃園市,八德區,透天厝,2024Q4,61,34.19,45.77,127,17.6%
臺北市,南港區,住宅大樓,2025Q1,65,91.27,102,100,11.9%
臺中市,西區,住宅大樓,2024Q2,306,33.52,38.94,82,9.1%
臺中市,烏日區,透天厝,2024Q1,61,35.78,48.76,86,12.9%
新北市,三峽區,透天厝,2025Q3,3,23.92,49.75,69,40.1%
新北市,五股區,住宅大樓,2024Q1,337,42.94,42.71,96,8.1%
臺北市,萬華區,住宅大樓,2024Q2,227,71.95,79.05,82,9.9%
新北市,土城區,透天厝,2024Q2,7,70.15,77.37,215,3.5%
臺中市,潭子區,透天厝,2024Q2,87,40.94,47.21,100,9.7%
高雄市,鼓山區,透天厝,2025Q4,7,27.84,50.21,140,12.2%
臺北市,北投區,透天厝,2024Q2,14,106.47,129.43,145,18.3%
新北市,三重區,透天厝,2024Q3,14,63.84,96.92,75,14.6%
新北市,樹林區,透天厝,2025Q3,14,43.65,59.83,122,12%
臺中市,潭子區,透天厝,2025Q2,42,32.52,50.14,95,15.6%
臺中市,西屯區,住宅大樓,2024Q2,999,40.22,47.64,89,8.7%
桃園市,中壢區,住宅大樓,2025Q4,202,36.07,39.55,147,13.7%
桃園市,龜山區,透天厝,2025Q4,5,32.41,53.23,134,21.5%
臺中市,北屯區,住宅大樓,2024Q4,381,36.74,43.64,90,11.1%
臺中市,南屯區,公寓,2024Q1,7,24.78,40.98,128,11.4%
高雄市,苓雅區,透天厝,2024Q4,38,39.65,57.91,120,21.5%
臺北市,萬華區,住宅大樓,2024Q1,176,65.67,74.12,86,11.3%
桃園市,蘆竹區,公寓,2025Q2,2,15.05,28.42,51,12.3%
臺中市,神岡區,住宅大樓,2025Q3,5,25.31,29.53,171,35.6%
桃園市,八德區,透天厝,2024Q3,83,31.06,46.33,124,16.6%
臺北市,文山區,透天厝,2025Q2,3,56.89,100.45,117,18.9%
臺中市,南區,透天厝,2025Q1,25,57.93,58.82,145,18.4%
臺中市,北屯區,住宅大樓,2025Q4,142,34.4,41.44,157,14.5%
新北市,五股區,公寓,2024Q2,29,27.8,36.71,74,8.9%
臺北市,文山區,公寓,2025Q3,70,49.61,58.86,133,16.7%
新北市,新莊區,公寓,2025Q3,127,38.66,47.76,123,15.3%
臺中市,南屯區,住宅大樓,2024Q3,403,40.74,44.94,77,7.9%
新北市,淡水區,透天厝,2024Q2,39,29.91,47.42,137,13.1%
臺中市,太平區,透天厝,2025Q1,104,39.34,46.98,119,13.5%
高雄市,小港區,公寓,2025Q1,31,13.97,19.19,91,16.6%
新北市,五股區,公寓,2025Q2,11,27.62,32.96,96,14.8%
臺中市,豐原區,透天厝,2024Q3,99,39.44,46.75,122,11%
臺中市,龍井區,公寓,2024Q3,17,19.35,29.3,107,17.3%
臺北市,萬華區,透天厝,2025Q3,11,94.03,134.59,94,21.6%
高雄市,楠梓區,住宅大樓,2024Q4,305,30.49,33.36,68,10.7%
高雄市,岡山區,住宅大樓,2024Q4,61,23.4,29.21,86,11.5%
桃園市,平鎮區,住宅大樓,2024Q1,284,25.77,27.38,93,10.4%
臺南市,善化區,住宅大樓,2025Q3,28,28.83,33.5,132,10.5%
新北市,淡水區,透天厝,2025Q2,12,27.84,48.96,168,16.3%
臺中市,北屯區,公寓,2024Q2,66,25.12,31.7,102,10.7%
新北市,三峽區,住宅大樓,2025Q4,49,42.97,43.01,163,11.3%
新北市,蘆洲區,住宅大樓,2024Q2,212,54.03,57.31,66,9.3%
臺中市,豐原區,透天厝,2025Q1,75,34.95,45.35,117,16.3%
臺南市,善化區,透天厝,2024Q3,56,32.95,38.56,140,12.8%
新北市,八里區,住宅大樓,2025Q4,28,29.79,33.79,124,12.7%
桃園市,八德區,透天厝,2025Q4,27,28.43,43.72,123,18.1%
新北市,深坑區,住宅大樓,2025Q4,9,41.31,40.26,136,11.1%
臺南市,永康區,公寓,2024Q3,10,16.58,24.54,104,19.1%
臺北市,中山區,透天厝,2024Q1,2,146,152.66,207,30.4%
高雄市,小港區,住宅大樓,2025Q3,84,24.59,26.47,118,12.4%
臺北市,萬華區,住宅大樓,2025Q2,102,69.65,80.69,97,13.4%
臺中市,豐原區,透天厝,2024Q4,62,44.25,46.43,90,19.4%
臺中市,豐原區,公寓,2025Q1,6,20.16,26.7,82,15.6%
桃園市,中壢區,住宅大樓,2024Q3,951,36.83,38.9,70,10%
臺北市,北投區,住宅大樓,2024Q4,140,68.31,72.59,79,11.8%
臺中市,太平區,公寓,2024Q4,15,12.83,26.14,121,13.7%
臺北市,中山區,公寓,2024Q1,88,68.98,81.51,119,12.5%
高雄市,苓雅區,公寓,2024Q1,97,17.01,21.69,91,13.5%
臺北市,大同區,公寓,2024Q2,35,60,71.07,117,11%
桃園市,蘆竹區,住宅大樓,2024Q1,440,31.88,32.92,86,10.4%
臺中市,潭子區,住宅大樓,2024Q1,97,28.67,31.93,84,9.8%
新北市,鶯歌區,住宅大樓,2024Q3,104,36.83,37.13,77,9.3%
臺南市,安南區,住宅大樓,2025Q4,35,29.15,33.8,151,15.4%
高雄市,前鎮區,透天厝,2024Q2,79,35.1,49.73,116,16%
桃園市,桃園區,公寓,2024Q1,96,21.72,29.45,93,15.9%
臺北市,北投區,住宅大樓,2024Q1,297,67.12,68.13,80,10.1%
臺中市,烏日區,透天厝,2025Q3,23,36.37,52.5,98,17.9%
臺北市,中山區,住宅大樓,2025Q4,116,87.87,100.9,117,12.1%
臺南市,安南區,公寓,2025Q2,9,13.14,26.05,160,27.3%
臺中市,西區,公寓,2024Q2,42,26.55,33.89,93,13%
新北市,八里區,公寓,2024Q2,9,22.54,28.65,131,13.9%
臺北市,北投區,住宅大樓,2024Q3,212,68.86,71.39,92,10%
臺北市,大同區,透天厝,2025Q4,4,133.16,145.96,NULL,NULL
臺南市,南區,公寓,2024Q3,29,14.89,24.34,89,19.9%
臺北市,北投區,公寓,2024Q1,103,48.55,55.08,91,12.8%
臺中市,大雅區,住宅大樓,2025Q2,32,30.11,34.49,95,10.9%
高雄市,楠梓區,住宅大樓,2025Q4,124,29.33,31.43,152,13%
臺中市,南屯區,透天厝,2024Q1,85,47.7,61.05,149,12.7%
高雄市,岡山區,住宅大樓,2024Q3,47,25.63,27.92,95,11.3%
臺南市,永康區,住宅大樓,2025Q1,220,26.33,30.38,119,13.7%
臺南市,中西區,公寓,2025Q4,5,17.54,22.71,NULL,NULL
高雄市,橋頭區,透天厝,2025Q3,11,22.36,43.91,78,13.7%
新北市,新莊區,住宅大樓,2025Q4,143,52.43,56.94,124,12.8%
高雄市,岡山區,公寓,2024Q1,3,12.69,21.5,NULL,NULL
高雄市,前金區,透天厝,2025Q4,5,31.58,51.9,87,15.8%
臺南市,仁德區,透天厝,2025Q1,40,30.56,44.13,133,14.3%
臺南市,歸仁區,住宅大樓,2024Q2,372,33.93,32.77,102,10.2%
臺中市,南區,透天厝,2025Q3,17,41.82,57.56,136,16.2%
臺北市,松山區,住宅大樓,2024Q4,152,93.81,110.67,70,12.3%
臺南市,中西區,公寓,2024Q4,12,19.32,26.08,87,16%
桃園市,楊梅區,透天厝,2024Q2,220,23.74,32.98,131,13.8%
臺中市,北屯區,公寓,2024Q4,34,23.81,32.01,104,13.9%
高雄市,前鎮區,公寓,2025Q2,31,17.52,22.18,93,20.8%
高雄市,仁武區,透天厝,2024Q3,136,32.32,44.13,103,12%
臺南市,佳里區,住宅大樓,2024Q1,53,21.55,22.89,95,9.9%
臺中市,中區,透天厝,2024Q4,3,54.31,69.73,5,7.6%
臺南市,安南區,住宅大樓,2025Q2,42,28.93,34.24,136,10.4%
臺北市,內湖區,住宅大樓,2025Q2,234,82.44,84.72,104,11.5%
臺北市,松山區,住宅大樓,2024Q2,270,103.47,104.78,76,9.6%
高雄市,仁武區,公寓,2025Q3,3,12.98,20.26,205,23%
臺南市,東區,公寓,2025Q1,29,17.21,24.13,143,19.2%
臺北市,中正區,透天厝,2024Q3,5,191.45,200.27,NULL,NULL
臺南市,東區,透天厝,2025Q1,68,37.29,50.05,110,14.2%
桃園市,桃園區,住宅大樓,2024Q2,1768,38.64,36.79,72,9.2%
臺中市,西屯區,公寓,2025Q4,8,25.23,33.68,201,19.6%
高雄市,仁武區,住宅大樓,2025Q2,65,30.15,34.04,132,14.4%
臺中市,南區,住宅大樓,2024Q2,450,32.91,36.47,76,8%
臺南市,歸仁區,透天厝,2025Q3,15,33.98,35.7,96,14.2%
桃園市,八德區,透天厝,2025Q1,65,30.53,44.65,127,15.8%
新北市,深坑區,透天厝,2025Q2,4,28.76,40.26,144,20.5%
新北市,三重區,住宅大樓,2024Q1,537,58.7,60.08,88,10%
桃園市,楊梅區,公寓,2025Q2,21,12.46,20.56,98,22.1%
新北市,深坑區,透天厝,2024Q4,1,38.66,42.53,64,10.4%
新北市,深坑區,公寓,2024Q2,6,24.07,31.21,138,16.3%
高雄市,左營區,公寓,2025Q4,5,17.1,24.2,179,11.7%
新北市,深坑區,公寓,2024Q4,7,30.32,33.81,112,18%
桃園市,楊梅區,公寓,2024Q4,28,14.36,20.12,118,18.3%
高雄市,苓雅區,透天厝,2024Q3,68,47.37,57.53,124,14.3%
桃園市,中壢區,公寓,2024Q1,115,20.95,26.88,115,16.1%
桃園市,桃園區,住宅大樓,2024Q4,598,35.5,38.71,78,11.5%
臺中市,北屯區,透天厝,2025Q3,70,44.85,59.57,141,17.1%
高雄市,前金區,透天厝,2024Q4,17,43.16,56.69,144,17%
新北市,蘆洲區,透天厝,2025Q1,3,62.68,132.2,216,22.2%
臺北市,士林區,住宅大樓,2025Q3,90,80.35,89.01,118,12.5%
高雄市,鼓山區,住宅大樓,2024Q3,360,41.52,42.1,79,8.1%
高雄市,楠梓區,透天厝,2025Q3,46,35.27,48.73,159,16.7%
臺南市,善化區,住宅大樓,2024Q2,164,30.56,34.11,90,11.1%
臺中市,豐原區,公寓,2025Q3,8,22.2,28.05,41,12.1%
臺北市,中山區,公寓,2024Q4,66,71.56,90.05,86,13.2%
臺中市,烏日區,公寓,2024Q2,3,20.03,30.49,195,2.4%
新北市,汐止區,透天厝,2025Q2,17,32.24,51.99,137,16.4%
臺南市,安平區,透天厝,2024Q1,35,31.44,40.4,141,16.7%
臺中市,龍井區,住宅大樓,2024Q3,58,31.31,35.97,85,10.5%
臺中市,南區,住宅大樓,2025Q2,169,33.16,37.62,112,12%
臺南市,中西區,公寓,2025Q1,7,20.56,25.5,105,13.9%
新北市,汐止區,透天厝,2024Q2,29,37.93,49.82,138,15.4%
高雄市,前鎮區,住宅大樓,2024Q1,346,29.41,30.13,91,11.9%
新北市,八里區,透天厝,2024Q2,8,37.97,41.78,223,15.9%
新北市,新莊區,透天厝,2025Q1,13,58.09,89.08,101,14.9%
臺南市,新營區,公寓,2024Q1,11,10.92,14.14,82,26%
新北市,永和區,住宅大樓,2024Q3,175,69.23,73.91,58,10.1%
臺中市,太平區,公寓,2025Q4,2,16.68,25.22,110,43.6%
臺北市,萬華區,公寓,2024Q1,74,48.32,60.51,84,14.9%
高雄市,新興區,透天厝,2024Q1,21,55.62,70.23,122,14.7%
臺南市,新營區,住宅大樓,2025Q3,25,18.81,22.43,88,11.8%
臺中市,潭子區,公寓,2025Q4,1,19.36,36.54,79,0.9%
新北市,三峽區,公寓,2025Q1,9,25.13,33.01,131,17.8%
新北市,蘆洲區,公寓,2025Q2,65,39.27,49.37,126,21%
桃園市,龜山區,透天厝,2024Q4,29,32.26,50.53,122,20.2%
桃園市,八德區,住宅大樓,2024Q2,542,34.18,33.47,59,9.5%
臺中市,潭子區,公寓,2024Q4,2,28.35,32.26,123,14.8%
臺南市,仁德區,透天厝,2025Q4,26,28.61,36.16,141,23.3%
臺南市,安南區,透天厝,2024Q3,173,32.5,38.66,130,15.1%
新北市,蘆洲區,公寓,2024Q2,123,40.23,48.89,93,13.6%
桃園市,大園區,公寓,2024Q1,8,12.65,21.03,107,16.8%
臺中市,北區,公寓,2024Q1,111,23.31,30,110,11.6%
臺北市,松山區,住宅大樓,2025Q2,163,96.53,110.86,94,12.1%
臺南市,南區,住宅大樓,2024Q3,113,27.89,28.65,96,10.8%
臺北市,信義區,透天厝,2024Q2,1,176.04,146.59,NULL,NULL
臺中市,西屯區,透天厝,2025Q1,48,56.67,69.33,158,16.8%
高雄市,楠梓區,住宅大樓,2025Q2,268,30.33,32.86,118,13%
新北市,板橋區,公寓,2024Q1,283,44.69,54.27,83,13.3%
臺中市,北區,住宅大樓,2025Q3,193,31.8,37.42,133,14%
桃園市,大園區,透天厝,2024Q3,64,31.14,39.16,84,9.6%
臺中市,西屯區,公寓,2024Q4,32,28.95,36.11,130,12.1%
高雄市,新興區,住宅大樓,2025Q1,84,29.01,35.8,98,17.5%
新北市,鶯歌區,透天厝,2025Q4,9,32.01,46.78,201,15.3%
臺中市,北區,透天厝,2024Q3,62,45.7,59.33,120,13.4%
高雄市,鹽埕區,住宅大樓,2025Q1,25,19,43.41,105,18.2%
高雄市,小港區,公寓,2025Q3,33,13.73,18.22,107,17.4%
臺中市,太平區,住宅大樓,2024Q3,469,35.56,36.02,79,7.6%
新北市,新莊區,公寓,2025Q1,125,39.27,48.8,115,17.4%
臺北市,信義區,透天厝,2025Q2,4,114.95,117.15,NULL,NULL
臺北市,南港區,公寓,2024Q1,47,61.25,70.49,104,10.4%
臺北市,信義區,住宅大樓,2024Q1,207,99.33,109.17,99,9.7%
臺南市,東區,透天厝,2025Q4,36,34.21,49.35,152,12.7%
桃園市,大園區,住宅大樓,2025Q2,73,34.32,41.29,106,12.3%
新北市,永和區,透天厝,2025Q2,5,88.58,124.45,258,20.1%
新北市,土城區,公寓,2024Q3,81,38.45,48.37,99,12.2%
新北市,三峽區,公寓,2025Q4,5,22.1,33.57,87,14.3%
高雄市,鹽埕區,公寓,2025Q3,4,15.99,20.9,124,37.9%
新北市,蘆洲區,透天厝,2025Q4,2,104.61,93.44,NULL,NULL
臺中市,西屯區,公寓,2025Q1,77,58.53,36.14,114,13.7%
高雄市,新興區,公寓,2025Q3,5,17.06,24.8,118,22.3%
臺北市,大同區,透天厝,2025Q1,13,102.38,160.98,NULL,NULL
臺北市,信義區,住宅大樓,2025Q1,129,100.89,121.45,118,11.4%
臺南市,新化區,透天厝,2025Q4,12,22.25,35.7,132,22.1%
新北市,永和區,公寓,2024Q2,154,51.77,60.79,84,12.5%
桃園市,平鎮區,住宅大樓,2024Q3,270,29.73,30.04,62,10.9%
臺南市,永康區,透天厝,2024Q2,180,32.32,42.37,120,12.5%
臺中市,西屯區,透天厝,2024Q1,85,51.7,64.42,137,15.2%
桃園市,楊梅區,透天厝,2025Q2,108,27.14,32.12,118,19.3%
臺中市,太平區,透天厝,2024Q1,187,37.64,43.94,122,13.8%
新北市,林口區,公寓,2024Q3,7,27.11,39.73,32,9.8%
臺北市,中正區,公寓,2024Q1,40,74.35,86.72,128,13.2%
臺南市,南區,住宅大樓,2025Q4,35,25.3,27.61,134,17%
新北市,中和區,住宅大樓,2025Q4,122,59.23,64.95,125,13.3%
臺北市,南港區,公寓,2024Q4,27,66.98,84.77,32,14.7%
高雄市,三民區,透天厝,2024Q4,93,37.2,51.49,124,14.8%
臺北市,大安區,公寓,2025Q2,67,89.4,107.08,104,13.9%
桃園市,中壢區,公寓,2024Q4,73,20.84,28.81,92,17.8%
臺北市,大安區,公寓,2024Q4,78,87.39,104.23,87,12.5%
臺中市,中區,透天厝,2025Q3,5,34.77,69.68,254,14.4%
臺南市,安平區,透天厝,2024Q4,19,32.77,39.98,125,15.8%
桃園市,平鎮區,公寓,2025Q2,30,16.03,24.28,120,22.9%
桃園市,楊梅區,透天厝,2024Q4,113,25.19,33.11,127,17%
臺北市,南港區,公寓,2025Q2,35,58.2,77.1,76,12.6%
臺中市,大雅區,公寓,2024Q2,6,18.29,26.51,161,25.6%
臺南市,永康區,公寓,2025Q1,7,16.46,23.77,99,18.4%
高雄市,三民區,透天厝,2025Q2,84,44.5,49.7,132,18.3%
臺南市,新市區,住宅大樓,2024Q2,115,30.3,33.26,99,9.5%
高雄市,岡山區,公寓,2025Q1,3,14.64,23.06,20,9.6%
臺北市,內湖區,透天厝,2024Q1,9,76.69,107.06,131,12.5%
新北市,蘆洲區,透天厝,2024Q1,1,67.39,78.56,195,18.5%
新北市,新莊區,透天厝,2025Q3,10,57.83,83.38,87,14.1%
臺北市,信義區,透天厝,2025Q1,3,81.25,125.86,15,2.8%
新北市,林口區,住宅大樓,2024Q3,377,51.95,52.39,59,8%
新北市,鶯歌區,公寓,2025Q1,8,24.82,30.68,103,18.1%
臺中市,東區,透天厝,2024Q3,35,38.7,60.52,116,15.9%
臺南市,佳里區,透天厝,2024Q4,52,21.21,29.8,100,13%
臺中市,龍井區,透天厝,2024Q1,91,25.29,40.77,125,11.7%
高雄市,前鎮區,透天厝,2024Q4,43,31.6,49.67,126,16.9%
臺中市,豐原區,住宅大樓,2024Q4,71,28.95,34.51,83,12.2%
高雄市,前鎮區,住宅大樓,2025Q2,177,31.51,32.11,107,12.3%
臺南市,安平區,透天厝,2025Q2,24,28.25,39.33,126,16.7%
高雄市,鳳山區,住宅大樓,2024Q4,263,28.47,31.35,82,11.6%
新北市,汐止區,住宅大樓,2024Q1,470,41.99,44.66,80,10.5%
臺南市,新市區,透天厝,2024Q2,49,33.1,36.8,99,12%
新北市,深坑區,透天厝,2025Q3,4,26.77,50.5,NULL,NULL
臺中市,豐原區,住宅大樓,2025Q2,53,30.35,34.45,116,13.5%
臺北市,大安區,住宅大樓,2025Q1,226,117.05,131.14,108,10.7%
臺南市,中西區,透天厝,2025Q4,19,31.65,49.65,146,22.5%
桃園市,蘆竹區,住宅大樓,2024Q4,211,33.28,36.22,71,11.1%
桃園市,蘆竹區,住宅大樓,2024Q3,335,30.31,35.62,67,9.8%
臺北市,信義區,住宅大樓,2024Q4,132,103.5,116.67,104,11.8%
桃園市,蘆竹區,公寓,2025Q1,4,22.55,27.29,126,23%
高雄市,前鎮區,透天厝,2024Q3,56,36.44,49.33,125,15.8%
高雄市,左營區,公寓,2024Q2,15,16.29,25.74,37,13%
新北市,八里區,透天厝,2025Q4,2,31.04,39.41,103,7.9%
臺中市,西區,透天厝,2025Q4,11,53.16,73.81,169,16.1%
臺中市,西屯區,住宅大樓,2025Q1,336,38.48,48.72,127,13.1%
高雄市,鹽埕區,透天厝,2024Q1,17,47.98,39.15,112,13.6%
桃園市,中壢區,公寓,2025Q1,56,21.9,28.83,114,18.5%
新北市,淡水區,住宅大樓,2025Q2,608,33.7,36.6,124,12.1%
臺中市,西區,公寓,2025Q4,10,23.93,31.67,100,18.4%
高雄市,苓雅區,住宅大樓,2024Q2,447,31.61,32.64,104,10.5%
高雄市,鳳山區,公寓,2025Q2,65,18.23,22.66,120,17.5%
桃園市,楊梅區,透天厝,2024Q3,149,24.82,35,109,15.9%
臺北市,南港區,公寓,2024Q3,44,65.55,79.05,91,13.5%
臺南市,仁德區,公寓,2024Q1,3,17.59,21.48,128,6.8%
臺中市,東區,公寓,2025Q4,3,20.12,29.21,161,17.7%
新北市,五股區,透天厝,2024Q4,6,52.93,71.93,64,18.9%
臺南市,中西區,住宅大樓,2025Q4,41,26.25,31.35,136,13.7%
臺北市,內湖區,公寓,2024Q4,74,58.5,69.72,107,16.3%
新北市,中和區,透天厝,2024Q3,15,73.88,110.38,153,11.8%
高雄市,橋頭區,公寓,2024Q3,1,9.93,20.27,NULL,NULL
新北市,深坑區,公寓,2025Q1,7,29.43,32.57,66,16.3%
臺南市,南區,透天厝,2024Q3,69,29.27,43.05,130,15.4%
臺中市,北區,住宅大樓,2024Q2,482,33.55,36.87,81,10.5%
新北市,汐止區,住宅大樓,2024Q2,523,44.03,46.07,63,9.9%
臺北市,南港區,透天厝,2024Q1,1,192.13,132.26,NULL,NULL
臺中市,神岡區,公寓,2024Q2,1,15.07,22.67,NULL,NULL
高雄市,新興區,透天厝,2024Q4,19,72.24,65.09,97,17.9%
高雄市,三民區,住宅大樓,2025Q3,309,31.59,33.98,137,14.9%
高雄市,鹽埕區,住宅大樓,2024Q1,51,23.14,33.83,90,12.9%
新北市,永和區,透天厝,2025Q3,4,100.05,118.47,NULL,NULL
臺北市,松山區,公寓,2025Q2,44,75.23,92.94,118,13.5%
高雄市,岡山區,透天厝,2024Q1,73,30.3,39.78,110,11.6%
新北市,林口區,公寓,2025Q2,12,22.71,41.83,89,16.6%
高雄市,新興區,透天厝,2025Q1,14,68.26,63.37,175,18.5%
新北市,蘆洲區,公寓,2025Q4,27,39.63,49,172,15.9%
高雄市,小港區,透天厝,2025Q2,67,30.06,33.72,148,21.1%
高雄市,橋頭區,住宅大樓,2024Q1,373,29.14,29.4,89,8.2%
新北市,泰山區,公寓,2024Q1,34,30.28,35.25,105,11.5%
新北市,汐止區,透天厝,2025Q4,7,31.94,51.86,185,22.3%
桃園市,桃園區,公寓,2024Q4,52,23.66,33.49,100,18.3%
新北市,土城區,透天厝,2025Q1,8,45.03,69.76,226,22.8%
臺北市,大安區,透天厝,2025Q1,4,123.95,188.86,54,16.7%
新北市,蘆洲區,住宅大樓,2024Q4,119,55.61,59.7,87,12.4%
桃園市,楊梅區,住宅大樓,2025Q3,134,22.6,26.4,116,14.3%
新北市,五股區,透天厝,2025Q2,8,54.41,49.59,19,22%
臺北市,內湖區,公寓,2025Q1,79,58.18,68.64,113,13.8%
臺南市,安南區,公寓,2025Q1,6,12.67,26.58,137,26.9%
臺南市,安平區,住宅大樓,2025Q2,96,26.72,33.54,110,13.4%
高雄市,三民區,公寓,2024Q2,141,17.73,22.45,91,14.2%
高雄市,岡山區,住宅大樓,2025Q1,50,24.89,29.46,114,12.1%
新北市,永和區,公寓,2024Q1,137,49.93,57.44,99,11.3%
臺南市,北區,住宅大樓,2024Q3,147,35.13,33.9,74,10.5%
新北市,鶯歌區,公寓,2024Q3,10,22.7,29.34,91,13.5%
臺中市,北屯區,透天厝,2024Q2,223,45,56.79,130,11.6%
臺中市,西區,住宅大樓,2025Q4,79,30.37,38.3,139,14.6%
新北市,土城區,住宅大樓,2025Q2,218,56.7,59.14,86,10.9%
新北市,鶯歌區,公寓,2024Q4,13,20.62,29.88,53,14%
高雄市,前鎮區,公寓,2025Q3,23,16.66,22.04,118,17.9%
高雄市,前鎮區,住宅大樓,2024Q3,309,32.99,32.19,82,10%
臺北市,松山區,住宅大樓,2025Q1,156,98.66,110.99,111,11.2%
臺中市,烏日區,透天厝,2024Q2,66,36.83,52.99,96,12.1%
高雄市,岡山區,透天厝,2024Q2,66,29.92,40.44,108,12%
桃園市,平鎮區,公寓,2024Q4,31,16.11,23.52,117,25%
桃園市,楊梅區,透天厝,2025Q1,94,25.13,32.55,145,16.7%
新北市,板橋區,透天厝,2024Q3,17,92.74,111.96,105,12%
臺南市,東區,住宅大樓,2024Q3,238,33.75,32.72,92,12.5%
臺南市,永康區,透天厝,2024Q1,180,33.3,40.45,117,14%
新北市,板橋區,住宅大樓,2025Q4,132,64.43,70.12,110,11.8%
臺北市,文山區,住宅大樓,2025Q4,55,77.29,76.13,103,11.6%
桃園市,中壢區,住宅大樓,2025Q1,597,35.33,40.17,114,12%
新北市,土城區,透天厝,2024Q4,7,65.91,68.97,57,11.6%
高雄市,前金區,公寓,2024Q1,6,19.37,26.16,33,18.7%
桃園市,八德區,公寓,2025Q3,15,19.82,24.65,113,19.4%
高雄市,鳳山區,住宅大樓,2025Q2,286,27.35,30.55,106,13.1%
臺北市,士林區,透天厝,2025Q3,4,86.38,156.67,NULL,NULL
高雄市,前鎮區,住宅大樓,2024Q4,224,33.85,32.28,69,12.8%
臺北市,大安區,透天厝,2024Q4,3,242.83,174.15,NULL,NULL
高雄市,鹽埕區,透天厝,2024Q2,18,48.12,51.94,125,14.7%
桃園市,平鎮區,公寓,2024Q3,33,18.24,24.29,88,15.5%
新北市,蘆洲區,住宅大樓,2025Q1,111,55.92,60.24,99,11%
桃園市,龜山區,住宅大樓,2025Q4,116,40.64,42.01,148,12.3%
高雄市,三民區,公寓,2024Q1,87,17.13,21.32,112,15.9%
新北市,中和區,透天厝,2025Q2,10,83.6,107.66,90,13.3%
臺南市,南區,透天厝,2024Q4,73,30.05,42.27,132,16.7%
臺南市,東區,公寓,2024Q1,34,16.54,22.81,92,16.1%
新北市,新店區,公寓,2025Q1,104,40.87,47.42,117,14.9%
臺中市,西屯區,住宅大樓,2025Q4,184,35.98,47.41,146,15.8%
新北市,土城區,透天厝,2025Q4,3,35.96,86.48,NULL,NULL
高雄市,小港區,住宅大樓,2025Q2,105,26.24,27.24,105,14.2%
臺南市,安南區,透天厝,2024Q1,309,30.9,36.92,103,14%
新北市,八里區,透天厝,2025Q1,1,26.74,40.99,NULL,NULL
臺南市,善化區,住宅大樓,2025Q4,35,24.33,32.7,99,14.6%
新北市,淡水區,公寓,2024Q3,87,21.74,27.7,80,14.7%
臺南市,仁德區,住宅大樓,2024Q3,129,28.5,31.76,124,11.7%
臺北市,松山區,透天厝,2025Q1,1,175.89,178.22,NULL,NULL
臺中市,太平區,住宅大樓,2024Q4,191,33.42,36.52,99,11.7%
新北市,土城區,透天厝,2024Q3,5,50.24,71.15,95,21.8%
高雄市,鳳山區,透天厝,2025Q3,76,31.76,43.25,158,16.5%
臺北市,北投區,公寓,2024Q3,85,53.78,59.82,96,14.5%
新北市,新店區,住宅大樓,2024Q3,387,56.72,60.07,76,9.7%
臺南市,新營區,公寓,2024Q3,8,10.97,15.77,29,7.3%
桃園市,桃園區,住宅大樓,2025Q1,635,36.15,38.87,106,11.8%
臺南市,歸仁區,公寓,2024Q2,2,24.37,29.18,NULL,NULL
臺南市,佳里區,透天厝,2024Q3,69,24.86,29.84,94,14.9%
臺中市,龍井區,住宅大樓,2025Q4,12,29.94,33.26,117,10%
臺中市,大里區,公寓,2024Q1,22,19.08,25.2,83,11.9%
臺南市,新化區,透天厝,2024Q4,11,21.59,36.95,120,29.7%
臺南市,安平區,透天厝,2024Q3,26,34.74,41.43,131,10.9%
桃園市,八德區,住宅大樓,2025Q4,57,32.78,34.24,145,12.2%
臺中市,南區,公寓,2025Q3,19,21.69,29.28,132,15.4%
臺中市,太平區,透天厝,2024Q2,222,36.45,45.27,114,12.8%
臺北市,南港區,住宅大樓,2024Q1,101,83.73,90.73,89,9.5%
新北市,蘆洲區,住宅大樓,2025Q4,49,59.2,58.24,139,11.9%
桃園市,桃園區,公寓,2025Q2,52,24.23,31.37,115,15.2%
桃園市,桃園區,透天厝,2025Q1,52,42.17,59.95,125,15.7%
