縣市,行政區,建物類別名稱,交易季,交易量(棟),成交行情(萬/坪),市場開價(萬/坪),銷售天期(天),買賣議價率(%)
高雄市,新興區,透天厝,2024Q2,39,67.02,65.23,83,13.5%
臺中市,大雅區,住宅大樓,2024Q1,60,29.35,30.33,88,8.1%
新北市,土城區,透天厝,2024Q1,10,47.38,82.66,228,20.7%
新北市,新莊區,公寓,2025Q4,65,37.51,46.87,124,18.2%
新北市,中和區,公寓,2025Q1,165,44.57,54.37,107,15.4%
新北市,鶯歌區,透天厝,2024Q2,24,31.05,48.57,160,14.8%
臺北市,內湖區,公寓,2025Q3,52,58.17,68.84,102,13.9%
臺南市,新化區,住宅大樓,2024Q3,22,26.11,28.29,104,8%
新北市,汐止區,住宅大樓,2025Q1,280,49.29,50.13,95,11.5%
新北市,土城區,住宅大樓,2025Q3,151,56.67,58.35,106,11.4%
高雄市,前金區,透天厝,2024Q3,17,46.56,56.12,92,10.6%
臺南市,新化區,住宅大樓,2025Q4,1,34.49,25.72,154,3.6%
高雄市,橋頭區,住宅大樓,2025Q3,37,28.96,33.79,160,15.1%
桃園市,中壢區,透天厝,2024Q2,235,39.16,51.85,126,14.2%
臺中市,西屯區,透天厝,2024Q4,68,58.87,69.69,131,15.9%
高雄市,鼓山區,公寓,2024Q3,37,17.13,24.27,106,13.7%
高雄市,鳳山區,透天厝,2025Q2,99,32.88,45.74,117,18.1%
新北市,淡水區,住宅大樓,2025Q3,482,33.71,36.79,129,11.6%
臺中市,太平區,透天厝,2024Q4,114,36.07,46.74,120,16.3%
臺北市,大同區,住宅大樓,2025Q1,64,88.36,93.26,122,13.1%
新北市,樹林區,公寓,2025Q3,42,30.82,38.26,132,16.9%
新北市,泰山區,透天厝,2024Q1,5,73.74,85.56,179,25.4%
新北市,汐止區,透天厝,2024Q1,33,40.02,45.28,142,18%
臺北市,文山區,住宅大樓,2025Q2,132,72.96,77.44,91,11.2%
臺北市,士林區,公寓,2025Q4,29,56.48,70.74,122,13.6%
新北市,永和區,公寓,2025Q4,37,48.21,58.73,118,13.8%
桃園市,蘆竹區,透天厝,2025Q1,43,30.35,42.84,160,18.4%
臺南市,仁德區,透天厝,2025Q2,40,27.91,43.11,113,14.5%
臺南市,北區,透天厝,2025Q2,50,28.44,45.32,109,18.5%
臺中市,東區,公寓,2024Q2,17,24.59,29.27,87,11.4%
高雄市,鼓山區,公寓,2025Q2,22,17.16,24.08,138,19.4%
臺北市,文山區,透天厝,2024Q3,9,67.05,97.73,171,16.6%
桃園市,龜山區,住宅大樓,2024Q1,835,38.54,38.55,74,7.9%
桃園市,桃園區,透天厝,2024Q4,46,40.69,57.97,127,16.2%
臺南市,北區,透天厝,2024Q3,78,34.63,43.07,106,13%
桃園市,大園區,住宅大樓,2024Q2,670,34.35,37.32,82,8.3%
臺北市,松山區,透天厝,2025Q2,4,135.5,190.15,10,13.7%
高雄市,鼓山區,透天厝,2025Q1,32,39.74,53.32,116,16.4%
臺南市,東區,住宅大樓,2025Q3,128,31.16,32.9,137,12.6%
新北市,板橋區,住宅大樓,2025Q2,397,66.32,70.98,103,11.5%
高雄市,新興區,住宅大樓,2024Q4,67,27.74,35.86,88,17%
臺南市,永康區,透天厝,2025Q4,39,33.35,38.9,117,17.5%
臺北市,萬華區,透天厝,2024Q3,9,95.06,128.36,NULL,NULL
臺中市,豐原區,公寓,2024Q3,12,20.65,28.91,89,13.7%
臺北市,中正區,公寓,2025Q1,17,74.37,95,128,13.1%
高雄市,鹽埕區,透天厝,2025Q1,9,68.54,54.68,196,8.8%
臺南市,中西區,公寓,2024Q3,9,18.11,24.89,126,18.7%
高雄市,左營區,透天厝,2024Q2,70,40.65,58.99,101,12.8%
臺北市,中正區,透天厝,2024Q1,4,180.97,192.62,NULL,NULL
臺北市,中山區,住宅大樓,2024Q3,482,91.71,100.56,76,10.8%
臺南市,歸仁區,透天厝,2025Q1,38,25.79,41.81,132,18.2%
臺北市,文山區,住宅大樓,2024Q1,224,66.69,69.71,82,10.3%
新北市,永和區,公寓,2025Q1,90,51.16,60.52,102,15.8%
新北市,三峽區,透天厝,2024Q3,13,34.99,45.57,117,11.7%
臺南市,歸仁區,透天厝,2024Q3,46,26.96,40.44,106,12.1%
桃園市,中壢區,住宅大樓,2024Q1,1303,35,36.3,92,10.6%
臺南市,永康區,透天厝,2025Q1,98,33.48,41.14,136,15%
臺北市,南港區,透天厝,2025Q4,1,96.01,118.94,NULL,NULL
新北市,深坑區,住宅大樓,2024Q4,29,40.26,43.88,70,12.8%
臺北市,大同區,公寓,2024Q3,46,61.12,76.46,58,11.3%
桃園市,平鎮區,透天厝,2024Q1,176,27.65,39.12,132,17.1%
新北市,板橋區,住宅大樓,2024Q1,716,63.95,64.99,86,9.2%
新北市,蘆洲區,透天厝,2024Q4,2,73.54,115.47,93,7.5%
臺南市,歸仁區,住宅大樓,2025Q3,30,31.83,34.74,156,17.3%
臺南市,中西區,住宅大樓,2024Q1,100,25.3,30.68,102,14.8%
臺南市,永康區,公寓,2024Q2,22,17.48,26.42,139,14.9%
新北市,深坑區,住宅大樓,2025Q2,17,37,41.98,90,13%
臺北市,松山區,透天厝,2024Q2,3,129.03,142.88,NULL,NULL
臺中市,北屯區,住宅大樓,2024Q2,1170,39.45,41.49,87,8.2%
臺南市,安南區,公寓,2024Q1,6,16.03,20.72,205,26.9%
高雄市,小港區,公寓,2024Q3,45,14.13,18.39,96,16.8%
臺南市,東區,透天厝,2024Q3,93,39.3,52.72,118,14.4%
